Time,Bid_Open_open,Bid_Open_high,Bid_Open_low,Bid_Open_close,Bid_High_open,Bid_High_high,Bid_High_low,Bid_High_close,Bid_Low_open,Bid_Low_high,Bid_Low_low,Bid_Low_close,Bid_Close_open,Bid_Close_high,Bid_Close_low,Bid_Close_close,Ask_Open_open,Ask_Open_high,Ask_Open_low,Ask_Open_close,Ask_High_open,Ask_High_high,Ask_High_low,Ask_High_close,Ask_Low_open,Ask_Low_high,Ask_Low_low,Ask_Low_close,Ask_Close_open,Ask_Close_high,Ask_Close_low,Ask_Close_close,Volume_open,Volume_high,Volume_low,Volume_close,returns,SMA_20,BB_upper,BB_lower,RSI,close_normalized
2024-10-13 21:10:00+00:00,149.048,149.048,149.048,149.048,149.057,149.057,149.057,149.057,149.048,149.048,149.048,149.048,149.055,149.055,149.055,149.055,149.094,149.094,149.094,149.094,149.102,149.102,149.102,149.102,149.092,149.092,149.092,149.092,149.096,149.096,149.096,149.096,0.0,0.0,0.0,0.0,,,,,,0.0
2024-10-13 21:15:00+00:00,149.056,149.056,149.056,149.056,149.06,149.06,149.06,149.06,149.05,149.05,149.05,149.05,149.055,149.055,149.055,149.055,149.102,149.102,149.102,149.102,149.106,149.106,149.106,149.106,149.097,149.097,149.097,149.097,149.101,149.101,149.101,149.101,0.0,0.0,0.0,0.0,0.0,,,,,0.0
2024-10-13 21:20:00+00:00,149.055,149.055,149.055,149.055,149.06,149.06,149.06,149.06,149.052,149.052,149.052,149.052,149.057,149.057,149.057,149.057,149.1,149.1,149.1,149.1,149.107,149.107,149.107,149.107,149.095,149.095,149.095,149.095,149.104,149.104,149.104,149.104,0.0,0.0,0.0,0.0,1.3417865888376568e-05,,,,,0.006968641114916673
2024-10-13 21:25:00+00:00,149.057,149.057,149.057,149.057,149.06,149.06,149.06,149.06,149.056,149.056,149.056,149.056,149.056,149.056,149.056,149.056,149.104,149.104,149.104,149.104,149.107,149.107,149.107,149.107,149.097,149.097,149.097,149.097,149.102,149.102,149.102,149.102,0.0,0.0,0.0,0.0,-6.708842925751135e-06,,,,,0.003484320557507852
2024-10-13 21:30:00+00:00,149.056,149.056,149.056,149.056,149.071,149.071,149.071,149.071,149.055,149.055,149.055,149.055,149.066,149.066,149.066,149.066,149.103,149.103,149.103,149.103,149.118,149.118,149.118,149.118,149.102,149.102,149.102,149.102,149.113,149.113,149.113,149.113,0.0,0.0,0.0,0.0,6.70888793472546e-05,,,,,0.03832752613238831
2024-10-13 21:35:00+00:00,149.065,149.065,149.065,149.065,149.075,149.075,149.075,149.075,149.065,149.065,149.065,149.065,149.075,149.075,149.075,149.075,149.112,149.112,149.112,149.112,149.12,149.12,149.12,149.12,149.112,149.112,149.112,149.112,149.12,149.12,149.12,149.12,0.0,0.0,0.0,0.0,6.0375940858392596e-05,,,,,0.06968641114976092
2024-10-13 21:40:00+00:00,149.075,149.075,149.075,149.075,149.096,149.096,149.096,149.096,149.069,149.069,149.069,149.069,149.078,149.078,149.078,149.078,149.121,149.121,149.121,149.121,149.144,149.144,149.144,149.144,149.117,149.117,149.117,149.117,149.124,149.124,149.124,149.124,0.0,0.0,0.0,0.0,2.0124098608187424e-05,,,,,0.08013937282228446
2024-10-13 21:45:00+00:00,149.078,149.078,149.078,149.078,149.126,149.126,149.126,149.126,149.078,149.078,149.078,149.078,149.121,149.121,149.121,149.121,149.125,149.125,149.125,149.125,149.175,149.175,149.175,149.175,149.124,149.124,149.124,149.124,149.17,149.17,149.17,149.17,0.0,0.0,0.0,0.0,0.0002884396087954322,,,,,0.2299651567944289
2024-10-13 21:50:00+00:00,149.122,149.122,149.122,149.122,149.135,149.135,149.135,149.135,149.122,149.122,149.122,149.122,149.127,149.127,149.127,149.127,149.171,149.171,149.171,149.171,149.184,149.184,149.184,149.184,149.169,149.169,149.169,149.169,149.173,149.173,149.173,149.173,0.0,0.0,0.0,0.0,4.023578168066422e-05,,,,,0.250871080139377
2024-10-13 21:55:00+00:00,149.128,149.128,149.128,149.128,149.13,149.13,149.13,149.13,149.115,149.115,149.115,149.115,149.115,149.115,149.115,149.115,149.174,149.174,149.174,149.174,149.176,149.176,149.176,149.176,149.16,149.16,149.16,149.16,149.16,149.16,149.16,149.16,0.0,0.0,0.0,0.0,-8.046832565533624e-05,,,,,0.2090592334494808
2024-10-13 22:00:00+00:00,149.12,149.12,149.12,149.12,149.248,149.248,149.248,149.248,149.115,149.115,149.115,149.115,149.178,149.178,149.178,149.178,149.164,149.164,149.164,149.164,149.275,149.275,149.275,149.275,149.16,149.16,149.16,149.16,149.205,149.205,149.205,149.205,0.0,0.0,0.0,0.0,0.0004224927069711448,,,,,0.42857142857138614
